panel_id,x_m,y_m,z_m,projected_radius_m,azimuth_deg,normal_x,normal_y,normal_z,projected_area_m2,equivalent_cell_size_m
3132,22.715892344,-9.731707572,-10.875757570,24.712707202,336.809240668,-0.841329346092,0.360433613774,0.402805835938,0.612686207723,0.782742746835
3133,-10.177942743,22.523818568,-10.866787872,24.716652713,114.317004718,0.376960842323,-0.834215502510,0.402473624883,0.612686207723,0.782742746835
3134,-7.710953115,-23.487212425,-10.857810763,24.720597594,251.824768769,0.285590856106,0.869896756473,0.402141139387,0.612686207723,0.782742746835
3135,21.554639444,12.111997687,-10.848826227,24.724541846,29.332532819,-0.798319979392,-0.448592506910,0.401808378767,0.612686207723,0.782742746835
3136,-24.079097245,5.629837424,-10.839834243,24.728485469,166.840296869,0.891818416499,-0.208512497190,0.401475342342,0.612686207723,0.782742746835
3137,13.954501094,-20.419718825,-10.830834794,24.732428463,304.348060919,-0.516833373852,0.756285882391,0.401142029422,0.612686207723,0.782742746835
3138,3.504265555,24.486897816,-10.821827862,24.736370828,81.855824969,-0.129787613145,-0.906922141336,0.400808439319,0.612686207723,0.782742746835
3139,-19.127645674,-15.691279004,-10.812813426,24.740312565,219.363589019,0.708431321258,0.581158481630,0.400474571340,0.612686207723,0.782742746835
3140,24.707372538,-1.350493308,-10.803791469,24.744253674,356.871353069,-0.915087871763,0.050018270670,0.400140424789,0.612686207723,0.782742746835
3141,-17.308958430,17.688218452,-10.794761972,24.748194156,134.379117119,0.641072534459,-0.655119201940,0.399805998968,0.612686207723,0.782742746835
3142,0.814997096,-24.738712937,-10.785724916,24.752134010,271.886881169,-0.030185077635,0.916248627293,0.399471293176,0.612686207723,0.782742746835
3143,16.112370814,18.795070334,-10.776680281,24.756073237,49.394645219,-0.596754474593,-0.696113716084,0.399136306708,0.612686207723,0.782742746835
3144,-24.580558436,-2.975623159,-10.767628049,24.760011838,186.902409269,0.910391053175,0.110208265141,0.398801038856,0.612686207723,0.782742746835
3145,20.138145736,-14.412088557,-10.758568201,24.763949812,324.410173319,-0.745857249487,0.533781057677,0.398465488911,0.612686207723,0.782742746835
3146,-5.114829091,24.234000035,-10.749500716,24.767887160,101.917937369,0.189438114493,-0.897555556867,0.398129656160,0.612686207723,0.782742746835
3147,-12.600318461,-21.327804226,-10.740425577,24.771823882,239.425701419,0.466678461513,0.789918675045,0.397793539885,0.612686207723,0.782742746835
3148,23.701572881,7.216212681,-10.731342763,24.775759978,16.933465469,-0.877836032643,-0.267267136323,0.397457139369,0.612686207723,0.782742746835
